epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.0325,0.70539,3.14564,1.10859,0.00351,1,0.32442,0.24848,0.29029,3.31245,0.83627,0.00011669,0.00011669,0.00011669
2,253.452,0.67203,2.78765,1.09657,0.00341,0.98485,0.44583,0.37002,0.43234,3.3063,0.88861,0.000247575,0.000247575,0.000247575
3,397.133,0.60713,2.25036,1.0635,0.0035,1,0.51667,0.42813,0.41798,3.24493,0.90361,0.000375818,0.000375818,0.000375818
4,522.854,0.75514,2.06739,1.14353,0.0035,1,0.45434,0.3521,0.56923,3.23794,1.01876,0.000501422,0.000501422,0.000501422
5,655.507,0.69298,1.86467,1.06515,0.9449,0.18182,0.43041,0.34595,0.59199,3.25042,0.99493,0.000624385,0.000624385,0.000624385
6,790.374,0.6868,1.66036,1.02087,1,0.17819,0.38803,0.27076,1.049,3.59985,1.48153,0.000744707,0.000744707,0.000744707
7,925.899,0.71251,1.50894,1.04327,0.92291,0.27273,0.38733,0.23838,1.09763,3.48846,1.5404,0.000862389,0.000862389,0.000862389
8,1012.21,0.73505,1.48096,1.09768,0.84258,0.19788,0.29943,0.15829,1.41704,3.67627,1.7883,0.00097743,0.00097743,0.00097743
9,1128.36,0.67901,1.36971,1.02589,0.51951,0.04545,0.01017,0.00411,2.29315,5.07288,4.59839,0.00108983,0.00108983,0.00108983
10,1195.71,0.76419,1.36695,1.04851,0.68803,0.09091,0.10675,0.07534,1.9319,4.12901,3.14058,0.00119959,0.00119959,0.00119959
11,1265.76,0.74667,1.47642,1.10502,0.81162,0.12554,0.22193,0.13478,1.59432,3.74911,2.04347,0.00130671,0.00130671,0.00130671
12,1374.43,0.75273,1.51617,1.10652,0.88893,0.25758,0.3934,0.28054,1.22285,3.21411,1.64399,0.00141119,0.00141119,0.00141119
13,1520.99,0.78644,1.38629,1.09873,0.8908,0.37961,0.55983,0.42348,0.92508,2.60692,1.3804,0.00146896,0.00146896,0.00146896
14,1614.47,0.76725,1.32452,1.06736,0.61574,0.56629,0.52605,0.39964,0.98214,2.68474,1.58275,0.00145246,0.00145246,0.00145246
15,1693.08,0.83632,1.43393,1.12059,0.60314,0.53598,0.4826,0.30266,1.09958,2.802,1.45879,0.00143595,0.00143595,0.00143595
16,1787.5,0.82671,1.40026,1.11959,0.62506,0.45833,0.49698,0.31857,1.37979,2.67129,1.65264,0.00141945,0.00141945,0.00141945
17,1913.72,0.71484,1.16593,1.04788,0.44837,0.42375,0.37486,0.22841,1.42797,2.75198,1.7487,0.00140295,0.00140295,0.00140295
18,2041.77,0.67107,1.03603,1.00608,0.41904,0.49002,0.4597,0.34907,1.03238,2.3448,1.31888,0.00138644,0.00138644,0.00138644
19,2166.44,0.70831,1.07127,1.05579,0.82228,0.41221,0.45327,0.35487,1.06188,2.50866,1.4134,0.00136994,0.00136994,0.00136994
20,2294.22,0.7069,1.12913,1.04578,0.91472,0.3685,0.52608,0.33955,1.14814,2.52563,1.53878,0.00135344,0.00135344,0.00135344
21,2426.37,0.72722,1.14457,1.06934,0.87602,0.43939,0.48271,0.3391,1.01653,2.47264,1.42363,0.00133693,0.00133693,0.00133693
22,2554.17,0.76565,1.15083,1.08264,0.89442,0.46784,0.53092,0.36277,1.28843,2.14742,1.59532,0.00132043,0.00132043,0.00132043
23,2685.53,0.80356,1.09659,1.09084,0.92199,0.39394,0.46016,0.32104,1.2154,2.264,1.45183,0.00130393,0.00130393,0.00130393
24,2810.36,0.73207,1.21815,1.08891,0.97729,0.45455,0.5744,0.43069,1.14497,2.09597,1.39736,0.00128742,0.00128742,0.00128742
25,2938.84,0.6998,1.08806,1.01374,0.89877,0.43939,0.47765,0.36969,1.37045,2.19799,1.60673,0.00127092,0.00127092,0.00127092
26,3067.09,0.7352,1.04881,1.0638,0.90646,0.42424,0.47662,0.35104,0.93634,2.25388,1.25832,0.00125442,0.00125442,0.00125442
27,3192.48,0.70449,1.0374,1.05592,0.49121,0.5625,0.52828,0.43677,0.6996,1.84173,1.06963,0.00123791,0.00123791,0.00123791
28,3320.75,0.64885,0.90435,0.99316,0.95209,0.48485,0.57317,0.46471,0.68548,1.92494,1.07244,0.00122141,0.00122141,0.00122141
29,3446.84,0.63119,0.92054,1.02906,0.91795,0.46316,0.53224,0.44906,0.63013,2.17334,1.03879,0.00120491,0.00120491,0.00120491
30,3574.95,0.64271,0.90782,1.01891,0.90605,0.43939,0.55817,0.47207,0.65162,2.30619,1.0705,0.0011884,0.0011884,0.0011884
31,3701.82,0.67764,0.90874,1.0287,0.49258,0.6875,0.60567,0.49205,0.62692,2.09343,1.13427,0.0011719,0.0011719,0.0011719
32,3829,0.68128,0.87091,1.04655,0.7464,0.69322,0.73185,0.61401,0.71135,1.59169,1.09967,0.0011554,0.0011554,0.0011554
33,3957.04,0.62078,0.98616,0.98382,0.9107,0.7197,0.79637,0.66258,0.78502,1.39664,1.14149,0.00113889,0.00113889,0.00113889
34,4081.34,0.68504,0.90206,1.02662,0.94444,0.73459,0.80431,0.6656,0.83599,1.35983,1.20875,0.00112239,0.00112239,0.00112239
35,4211.5,0.63139,0.80723,1.0048,0.88486,0.72768,0.7994,0.69572,0.77815,1.28508,1.20064,0.00110589,0.00110589,0.00110589
36,4337.59,0.56129,0.8208,0.97217,0.84912,0.66057,0.7305,0.64879,0.63641,1.21997,1.07721,0.00108938,0.00108938,0.00108938
37,4462.19,0.63763,0.87038,1.03321,0.69024,0.8447,0.77512,0.63586,0.69318,1.16428,1.1175,0.00107288,0.00107288,0.00107288
38,4589.89,0.59966,0.7793,1.02522,0.83124,0.73435,0.8306,0.6282,0.84181,1.17729,1.25489,0.00105638,0.00105638,0.00105638
39,4666.61,0.61097,0.77666,1.00348,0.96601,0.74909,0.8432,0.67048,0.87806,1.21811,1.25802,0.00103987,0.00103987,0.00103987
40,4744.94,0.57098,0.76787,0.99374,0.98192,0.75189,0.85861,0.71792,0.72615,1.09083,1.08591,0.00102337,0.00102337,0.00102337
41,4813.36,0.52965,0.72718,0.95034,0.96791,0.7197,0.82177,0.69633,0.74107,1.29294,1.20896,0.00100687,0.00100687,0.00100687
42,4885.34,0.57709,0.72261,1.00655,0.90657,0.7197,0.81439,0.70088,0.6723,1.40921,1.08923,0.000990365,0.000990365,0.000990365
43,4962.69,0.58539,0.78843,1.00015,0.8357,0.80403,0.8439,0.73216,0.59025,1.26964,0.97646,0.000973861,0.000973861,0.000973861
44,5044.58,0.53651,0.70953,0.97097,0.85328,0.76713,0.76719,0.69965,0.53512,1.43229,0.95848,0.000957358,0.000957358,0.000957358
45,5130.02,0.53837,0.767,0.95156,0.75562,0.77914,0.74268,0.67563,0.5224,1.70393,0.9512,0.000940855,0.000940855,0.000940855
46,5209.02,0.60807,0.70066,1.00953,0.80235,0.73485,0.7352,0.6736,0.45383,1.67815,0.9389,0.000924352,0.000924352,0.000924352
47,5285.56,0.55087,0.70534,0.9948,0.69639,0.6875,0.68389,0.62271,0.46288,1.77847,0.93792,0.000907848,0.000907848,0.000907848
48,5361.29,0.5507,0.68803,0.97691,0.57554,0.67133,0.63274,0.57473,0.47118,1.85559,0.94711,0.000891345,0.000891345,0.000891345
